YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2021,1,1,3.72,1.34,2.53,5.39,5.59,6.94,1.34
2021,1,2,6.28,4.34,5.31,6.62,6.23,8.82,2.59
2021,1,3,4.21,3.04,3.62,5.69,4.11,6.38,2.27
2021,1,4,3.82,1.87,2.84,5.64,3.91,6.0,2.09
2021,1,5,3.44,0.58,2.01,5.23,2.82,5.01,2.19
2021,1,6,2.48,-0.42,1.02,4.69,3.42,4.61,1.19
2021,1,7,1.69,-1.63,0.03,4.33,4.52,4.57,0.06
2021,1,8,0.95,-2.11,-0.58,4.23,4.42,3.6,-0.82
2021,1,9,0.18,-3.31,-1.56,3.74,4.21,2.07,-2.13
2021,1,10,1.32,-2.1,-0.39,3.83,4.91,3.96,-0.95
2021,1,11,1.15,-1.95,-0.4,3.16,3.95,3.06,-0.88
2021,1,12,2.74,-0.93,0.9,3.94,4.73,5.06,0.33
2021,1,13,3.36,-0.56,1.4,4.02,3.52,5.15,1.63
2021,1,14,4.57,3.17,3.87,4.37,3.18,6.58,3.39
2021,1,15,5.68,4.83,5.26,5.5,5.88,8.62,2.74
2021,1,16,6.05,4.55,5.3,5.83,5.7,8.65,2.94
2021,1,17,3.77,0.81,2.3,4.75,4.58,6.14,1.55
2021,1,18,4.0,1.09,2.55,4.69,4.21,6.37,2.15
2021,1,19,2.74,-0.4,1.17,4.06,3.75,4.94,1.19
2021,1,20,1.72,-2.15,-0.22,3.67,5.54,4.02,-1.52
2021,1,21,1.98,-1.95,0.01,3.63,7.21,5.62,-1.59
2021,1,22,3.81,0.65,2.23,4.47,4.52,6.05,1.52
2021,1,23,-0.74,-5.1,-2.92,3.06,3.38,1.06,-2.32
2021,1,24,-1.63,-5.85,-3.74,2.65,4.41,0.51,-3.9
2021,1,25,-0.24,-4.83,-2.53,2.83,5.12,1.94,-3.2
2021,1,26,2.0,0.05,1.03,3.55,3.63,3.81,0.18
2021,1,27,2.01,-0.36,0.83,3.79,3.75,3.4,-0.34
2021,1,28,-1.54,-5.39,-3.46,2.28,5.03,0.53,-4.51
2021,1,29,-5.52,-9.04,-7.28,0.33,3.3,-3.96,-7.27
2021,1,30,-3.85,-7.53,-5.7,0.78,7.3,0.23,-7.07
2021,1,31,-2.95,-5.96,-4.46,1.14,4.5,-0.01,-4.52
2021,2,1,1.28,0.49,0.89,2.76,1.69,2.03,0.34
2021,2,2,1.1,-0.02,0.55,2.63,2.66,1.95,-0.7
2021,2,3,-0.05,-2.35,-1.2,1.81,3.2,1.76,-1.43
2021,2,4,0.65,-1.77,-0.56,1.58,3.73,2.7,-1.02
2021,2,5,3.45,1.65,2.55,2.63,5.05,5.87,0.83
2021,2,6,2.33,-1.31,0.51,2.39,6.01,5.58,-0.43
2021,2,7,1.42,-0.06,0.69,2.23,6.72,3.39,-3.33
2021,2,8,-3.82,-8.17,-5.99,-0.08,5.27,-1.74,-7.02
2021,2,9,0.83,-1.68,-0.43,1.42,5.76,3.6,-2.16
2021,2,10,-1.63,-5.51,-3.56,0.9,4.8,0.4,-4.4
2021,2,11,-1.06,-3.93,-2.49,1.47,3.01,0.47,-2.54
2021,2,12,-2.75,-7.82,-5.28,0.43,4.76,-0.83,-5.59
2021,2,13,-1.7,-4.96,-3.33,0.62,3.11,-0.13,-3.24
2021,2,14,1.05,-0.86,0.1,2.26,2.91,2.71,-0.2
2021,2,15,1.26,-0.17,0.55,2.48,2.52,2.67,0.15
2021,2,16,5.22,3.58,4.4,4.11,8.09,8.26,0.17
2021,2,17,-1.63,-6.53,-4.08,1.4,3.38,-0.29,-3.66
2021,2,18,-0.57,-2.84,-1.7,1.56,2.31,0.58,-1.74
2021,2,19,0.39,-0.69,-0.15,1.83,2.2,1.45,-0.76
2021,2,20,-1.16,-3.95,-2.56,0.87,3.59,0.45,-3.14
2021,2,21,-1.35,-5.51,-3.43,0.37,5.43,1.07,-4.36
2021,2,22,1.62,-0.3,0.66,1.83,4.51,3.76,-0.74
2021,2,23,2.51,1.11,1.81,2.34,3.54,4.35,0.81
2021,2,24,4.25,2.18,3.22,3.37,6.05,7.11,1.05
2021,2,25,4.14,0.63,2.39,3.37,4.15,6.3,2.15
2021,2,26,2.82,-2.28,0.26,3.32,4.66,4.89,0.23
2021,2,27,5.81,4.95,5.38,4.46,5.98,9.15,3.18
2021,2,28,4.45,3.45,3.95,3.8,2.17,5.38,3.22
2021,3,1,4.96,3.05,4.01,4.04,5.8,6.69,0.89
2021,3,2,-1.33,-6.84,-4.09,1.76,4.62,0.78,-3.85
2021,3,3,3.69,0.4,2.05,3.67,6.68,7.34,0.66
2021,3,4,2.7,-1.34,0.69,3.3,6.88,5.48,-1.4
2021,3,5,-0.36,-5.64,-3.0,2.35,5.27,2.3,-2.98
2021,3,6,0.5,-3.84,-1.67,2.52,2.45,1.26,-1.18
2021,3,7,0.51,-4.59,-2.04,2.55,5.32,3.4,-1.92
2021,3,8,0.8,-4.88,-2.03,2.72,6.83,3.92,-2.91
2021,3,9,6.06,2.65,4.36,4.83,8.84,11.34,2.5
2021,3,10,5.22,3.68,4.44,4.86,5.45,7.73,2.27
2021,3,11,8.3,7.35,7.82,7.0,6.01,11.87,5.86
2021,3,12,10.17,6.28,8.23,7.74,5.23,13.12,7.88
2021,3,13,3.75,-2.13,0.81,4.74,6.94,6.94,0.01
2021,3,14,4.19,-1.2,1.49,4.65,9.66,8.76,-0.89
2021,3,15,-0.52,-6.97,-3.74,2.87,5.74,2.33,-3.41
2021,3,16,0.83,-4.48,-1.83,3.51,3.34,2.35,-0.99
2021,3,17,4.49,3.22,3.85,4.95,4.36,6.4,2.04
2021,3,18,5.51,4.89,5.2,5.26,4.57,7.08,2.51
2021,3,19,1.98,-3.07,-0.54,3.48,4.45,4.43,-0.02
2021,3,20,4.68,-0.99,1.84,4.69,9.05,9.22,0.17
2021,3,21,5.81,2.37,4.09,5.58,8.2,9.99,1.8
