YEAR,MO,DY,PRECTOTCORR
2021,1,1,6.54
2021,1,2,0.01
2021,1,3,0.67
2021,1,4,1.46
2021,1,5,13.4
2021,1,6,2.51
2021,1,7,2.49
2021,1,8,0.06
2021,1,9,0.37
2021,1,10,0.21
2021,1,11,0.14
2021,1,12,0.02
2021,1,13,2.79
2021,1,14,3.08
2021,1,15,1.11
2021,1,16,0.46
2021,1,17,0.63
2021,1,18,0.22
2021,1,19,2.73
2021,1,20,1.04
2021,1,21,0.0
2021,1,22,0.16
2021,1,23,0.27
2021,1,24,3.45
2021,1,25,10.88
2021,1,26,3.33
2021,1,27,0.4
2021,1,28,0.56
2021,1,29,1.81
2021,1,30,5.65
2021,1,31,0.17
2021,2,1,0.11
2021,2,2,0.0
2021,2,3,1.13
2021,2,4,4.85
2021,2,5,0.01
2021,2,6,0.1
2021,2,7,9.82
2021,2,8,21.07
2021,2,9,7.63
2021,2,10,3.96
2021,2,11,15.48
2021,2,12,1.29
2021,2,13,0.83
2021,2,14,2.01
2021,2,15,2.5
2021,2,16,0.3
2021,2,17,4.16
2021,2,18,0.67
2021,2,19,1.83
2021,2,20,0.21
2021,2,21,0.0
2021,2,22,0.0
2021,2,23,0.09
2021,2,24,0.02
2021,2,25,0.0
2021,2,26,0.39
2021,2,27,2.6
2021,2,28,1.12
2021,3,1,1.33
2021,3,2,0.08
2021,3,3,0.13
2021,3,4,0.91
2021,3,5,5.55
2021,3,6,0.15
2021,3,7,0.05
2021,3,8,1.06
2021,3,9,0.12
2021,3,10,0.46
2021,3,11,0.94
2021,3,12,4.88
2021,3,13,0.03
2021,3,14,3.11
2021,3,15,0.57
2021,3,16,5.17
2021,3,17,2.82
2021,3,18,0.24
2021,3,19,0.22
2021,3,20,0.47
2021,3,21,0.45
2021,3,22,1.57
2021,3,23,1.19
2021,3,24,0.0
2021,3,25,0.01
2021,3,26,0.01
2021,3,27,0.12
2021,3,28,6.89
2021,3,29,0.1
2021,3,30,1.14
2021,3,31,0.42
2021,4,1,0.51
2021,4,2,1.37
2021,4,3,0.59
2021,4,4,0.38
2021,4,5,0.01
2021,4,6,4.54
2021,4,7,0.33
2021,4,8,0.43
2021,4,9,0.03
2021,4,10,0.0
2021,4,11,0.0
2021,4,12,0.08
2021,4,13,3.44
2021,4,14,9.76
2021,4,15,1.63
2021,4,16,10.29
2021,4,17,1.05
2021,4,18,0.3
2021,4,19,2.0
2021,4,20,1.27
2021,4,21,2.27
2021,4,22,6.87
2021,4,23,0.35
2021,4,24,0.22
2021,4,25,0.61
2021,4,26,0.37
2021,4,27,0.11
2021,4,28,0.0
2021,4,29,0.45
2021,4,30,1.86
2021,5,1,3.06
2021,5,2,4.78
2021,5,3,0.71
2021,5,4,0.0
2021,5,5,5.68
2021,5,6,0.64
2021,5,7,7.7
2021,5,8,2.39
2021,5,9,0.0
2021,5,10,0.0
2021,5,11,0.0
2021,5,12,0.01
2021,5,13,1.59
2021,5,14,1.2
2021,5,15,2.54
2021,5,16,7.16
2021,5,17,0.6
2021,5,18,3.58
2021,5,19,2.12
2021,5,20,0.11
2021,5,21,0.24
2021,5,22,3.37
2021,5,23,5.44
2021,5,24,1.25
2021,5,25,3.54
2021,5,26,0.15
2021,5,27,0.04
2021,5,28,2.07
2021,5,29,6.16
2021,5,30,18.55
2021,5,31,0.68
2021,6,1,0.19
2021,6,2,0.02
2021,6,3,0.0
2021,6,4,0.14
2021,6,5,4.63
2021,6,6,0.67
2021,6,7,0.24
2021,6,8,0.27
2021,6,9,0.66
2021,6,10,2.19
2021,6,11,1.09
2021,6,12,6.04
2021,6,13,21.52
2021,6,14,5.71
2021,6,15,0.23
2021,6,16,0.37
2021,6,17,0.0
2021,6,18,0.0
2021,6,19,3.15
2021,6,20,1.34
2021,6,21,0.06
2021,6,22,0.11
2021,6,23,0.3
2021,6,24,1.06
2021,6,25,11.64
2021,6,26,4.1
2021,6,27,0.22
2021,6,28,0.0
2021,6,29,0.02
2021,6,30,5.74
2021,7,1,4.78
2021,7,2,1.28
2021,7,3,7.82
2021,7,4,4.19
2021,7,5,0.37
2021,7,6,0.77
2021,7,7,0.02
2021,7,8,0.02
2021,7,9,0.46
2021,7,10,2.58
2021,7,11,0.7
2021,7,12,0.39
2021,7,13,0.18
2021,7,14,0.1
2021,7,15,0.79
2021,7,16,1.85
2021,7,17,0.28
2021,7,18,2.57
2021,7,19,38.55
2021,7,20,7.86
2021,7,21,3.61
2021,7,22,0.6
2021,7,23,0.02
2021,7,24,0.06
2021,7,25,0.18
2021,7,26,3.24
2021,7,27,2.06
2021,7,28,0.83
2021,7,29,1.68
2021,7,30,0.01
2021,7,31,6.31
2021,8,1,4.59
2021,8,2,2.71
2021,8,3,0.53
2021,8,4,3.76
2021,8,5,6.17
2021,8,6,1.17
2021,8,7,0.04
2021,8,8,0.66
2021,8,9,8.46
2021,8,10,0.13
2021,8,11,1.33
2021,8,12,0.01
2021,8,13,0.0
2021,8,14,0.07
2021,8,15,0.59
2021,8,16,1.89
2021,8,17,16.8
2021,8,18,0.09
2021,8,19,0.0
2021,8,20,0.02
2021,8,21,0.49
2021,8,22,0.15
2021,8,23,15.4
2021,8,24,11.74
2021,8,25,2.47
2021,8,26,0.78
2021,8,27,4.51
2021,8,28,0.38
2021,8,29,16.38
2021,8,30,5.52
2021,8,31,3.61
2021,9,1,7.43
2021,9,2,0.23
2021,9,3,0.03
2021,9,4,0.09
2021,9,5,0.0
2021,9,6,0.0
2021,9,7,0.0
2021,9,8,0.0
2021,9,9,0.0
2021,9,10,0.0
2021,9,11,0.0
2021,9,12,0.01
2021,9,13,7.52
2021,9,14,0.42
2021,9,15,0.02
2021,9,16,0.64
2021,9,17,36.04
2021,9,18,9.64
2021,9,19,5.84
2021,9,20,1.54
2021,9,21,0.17
2021,9,22,1.63
2021,9,23,0.9
2021,9,24,4.64
2021,9,25,0.31
2021,9,26,0.1
2021,9,27,0.0
2021,9,28,0.0
2021,9,29,0.0
2021,9,30,2.03
2021,10,1,1.82
2021,10,2,0.01
2021,10,3,0.0
2021,10,4,0.0
2021,10,5,0.0
2021,10,6,0.0
2021,10,7,0.0
2021,10,8,0.0
2021,10,9,0.0
2021,10,10,0.0
2021,10,11,0.47
2021,10,12,0.9
2021,10,13,0.18
2021,10,14,0.08
2021,10,15,0.0
2021,10,16,0.05
2021,10,17,0.01
2021,10,18,0.43
2021,10,19,1.05
2021,10,20,0.01
2021,10,21,0.03
2021,10,22,0.01
2021,10,23,0.23
2021,10,24,0.09
2021,10,25,0.0
2021,10,26,0.0
2021,10,27,0.06
2021,10,28,0.0
2021,10,29,0.0
2021,10,30,0.0
2021,10,31,0.0
2021,11,1,0.01
2021,11,2,0.84
2021,11,3,1.33
2021,11,4,6.4
2021,11,5,0.08
2021,11,6,0.02
2021,11,7,0.2
2021,11,8,0.36
2021,11,9,1.1
2021,11,10,0.0
2021,11,11,0.01
2021,11,12,0.07
2021,11,13,0.04
2021,11,14,0.06
2021,11,15,0.13
2021,11,16,0.02
2021,11,17,0.02
2021,11,18,0.44
2021,11,19,5.39
2021,11,20,0.66
2021,11,21,0.07
2021,11,22,1.76
2021,11,23,0.81
2021,11,24,0.76
2021,11,25,0.0
2021,11,26,1.25
2021,11,27,0.87
2021,11,28,5.99
2021,11,29,9.18
2021,11,30,2.02
2021,12,1,2.97
2021,12,2,2.53
2021,12,3,9.87
2021,12,4,0.0
2021,12,5,0.56
2021,12,6,7.36
2021,12,7,0.91
2021,12,8,0.98
2021,12,9,0.06
2021,12,10,2.72
2021,12,11,0.19
2021,12,12,10.46
2021,12,13,5.44
2021,12,14,0.43
2021,12,15,0.62
2021,12,16,1.15
2021,12,17,2.1
2021,12,18,3.82
2021,12,19,3.85
2021,12,20,3.23
2021,12,21,0.15
2021,12,22,0.18
2021,12,23,0.21
2021,12,24,6.15
2021,12,25,1.29
2021,12,26,0.05
2021,12,27,0.09
2021,12,28,0.21
2021,12,29,0.63
2021,12,30,0.46
2021,12,31,6.27
2022,1,1,3.84
