YEAR,MO,DY,PRECTOTCORR
2021,1,1,0.23
2021,1,2,1.44
2021,1,3,0.16
2021,1,4,0.57
2021,1,5,12.26
2021,1,6,3.03
2021,1,7,0.27
2021,1,8,0.13
2021,1,9,0.81
2021,1,10,0.49
2021,1,11,0.08
2021,1,12,2.97
2021,1,13,2.09
2021,1,14,0.46
2021,1,15,0.49
2021,1,16,2.72
2021,1,17,0.32
2021,1,18,0.0
2021,1,19,1.79
2021,1,20,1.44
2021,1,21,0.01
2021,1,22,0.09
2021,1,23,2.17
2021,1,24,1.96
2021,1,25,4.72
2021,1,26,0.81
2021,1,27,1.05
2021,1,28,1.02
2021,1,29,0.13
2021,1,30,4.25
2021,1,31,0.08
2021,2,1,0.04
2021,2,2,1.3
2021,2,3,5.7
2021,2,4,6.99
2021,2,5,0.0
2021,2,6,0.02
2021,2,7,0.21
2021,2,8,7.09
2021,2,9,0.71
2021,2,10,0.2
2021,2,11,0.33
2021,2,12,0.03
2021,2,13,0.49
2021,2,14,0.22
2021,2,15,0.64
2021,2,16,0.28
2021,2,17,3.73
2021,2,18,0.08
2021,2,19,2.15
2021,2,20,0.14
2021,2,21,0.0
2021,2,22,0.01
2021,2,23,0.07
2021,2,24,0.16
2021,2,25,0.17
2021,2,26,3.43
2021,2,27,0.15
2021,2,28,0.26
2021,3,1,0.22
2021,3,2,0.18
2021,3,3,0.15
2021,3,4,0.38
2021,3,5,0.2
2021,3,6,0.09
2021,3,7,1.21
2021,3,8,0.2
2021,3,9,0.01
2021,3,10,0.01
2021,3,11,4.93
2021,3,12,1.3
2021,3,13,2.44
2021,3,14,0.31
2021,3,15,0.25
2021,3,16,0.5
2021,3,17,0.26
2021,3,18,0.66
2021,3,19,0.75
2021,3,20,0.31
2021,3,21,2.6
2021,3,22,0.1
2021,3,23,0.26
2021,3,24,0.17
2021,3,25,0.08
2021,3,26,0.02
2021,3,27,1.98
2021,3,28,0.85
2021,3,29,4.45
2021,3,30,0.95
2021,3,31,0.07
2021,4,1,1.21
2021,4,2,0.04
2021,4,3,1.81
2021,4,4,0.18
2021,4,5,1.47
2021,4,6,0.41
2021,4,7,0.88
2021,4,8,1.71
2021,4,9,0.07
2021,4,10,0.04
2021,4,11,0.38
2021,4,12,0.42
2021,4,13,8.76
2021,4,14,12.35
2021,4,15,6.86
2021,4,16,6.94
2021,4,17,3.41
2021,4,18,1.2
2021,4,19,2.21
2021,4,20,0.53
2021,4,21,1.1
2021,4,22,2.14
2021,4,23,0.95
2021,4,24,0.04
2021,4,25,0.07
2021,4,26,0.2
2021,4,27,0.01
2021,4,28,0.0
2021,4,29,0.08
2021,4,30,2.65
2021,5,1,3.98
2021,5,2,15.22
2021,5,3,0.75
2021,5,4,1.26
2021,5,5,9.01
2021,5,6,0.32
2021,5,7,8.35
2021,5,8,1.91
2021,5,9,0.0
2021,5,10,0.02
2021,5,11,0.06
2021,5,12,0.0
2021,5,13,0.02
2021,5,14,2.59
2021,5,15,0.18
2021,5,16,4.29
2021,5,17,0.31
2021,5,18,2.98
2021,5,19,5.38
2021,5,20,0.03
2021,5,21,0.29
2021,5,22,8.4
2021,5,23,1.5
2021,5,24,0.03
2021,5,25,6.06
2021,5,26,0.3
2021,5,27,0.21
2021,5,28,0.54
2021,5,29,1.64
2021,5,30,0.59
2021,5,31,0.01
2021,6,1,0.04
2021,6,2,0.01
2021,6,3,0.0
2021,6,4,0.14
2021,6,5,5.07
2021,6,6,0.04
2021,6,7,0.0
2021,6,8,0.2
2021,6,9,0.45
2021,6,10,0.29
2021,6,11,1.05
2021,6,12,20.44
2021,6,13,2.67
2021,6,14,0.04
2021,6,15,0.01
2021,6,16,0.25
2021,6,17,0.0
2021,6,18,0.0
2021,6,19,0.06
2021,6,20,0.06
2021,6,21,0.04
2021,6,22,1.23
2021,6,23,3.52
2021,6,24,5.12
2021,6,25,6.28
2021,6,26,1.91
2021,6,27,0.06
2021,6,28,0.1
2021,6,29,0.0
2021,6,30,2.43
2021,7,1,5.21
2021,7,2,4.12
2021,7,3,17.43
2021,7,4,8.05
2021,7,5,1.87
2021,7,6,0.03
2021,7,7,0.15
2021,7,8,2.63
2021,7,9,10.24
2021,7,10,5.26
2021,7,11,5.11
2021,7,12,3.71
2021,7,13,5.35
2021,7,14,0.31
2021,7,15,4.59
2021,7,16,7.91
2021,7,17,4.85
2021,7,18,1.83
2021,7,19,0.01
2021,7,20,0.16
2021,7,21,0.13
2021,7,22,0.06
2021,7,23,0.26
2021,7,24,0.08
2021,7,25,0.13
2021,7,26,5.2
2021,7,27,2.29
2021,7,28,1.29
2021,7,29,2.64
2021,7,30,0.0
2021,7,31,0.22
2021,8,1,10.51
2021,8,2,13.75
2021,8,3,0.23
2021,8,4,5.44
2021,8,5,26.13
2021,8,6,13.93
2021,8,7,0.62
2021,8,8,0.59
2021,8,9,4.89
2021,8,10,5.67
2021,8,11,1.57
2021,8,12,0.01
2021,8,13,0.0
2021,8,14,0.32
2021,8,15,0.09
2021,8,16,8.39
2021,8,17,14.7
2021,8,18,0.53
2021,8,19,0.03
2021,8,20,2.67
2021,8,21,2.07
2021,8,22,0.12
2021,8,23,21.64
2021,8,24,7.55
2021,8,25,0.05
2021,8,26,5.01
2021,8,27,1.18
2021,8,28,2.17
2021,8,29,0.47
2021,8,30,14.8
2021,8,31,2.61
2021,9,1,1.68
2021,9,2,0.38
2021,9,3,0.0
2021,9,4,0.01
2021,9,5,0.0
2021,9,6,0.0
2021,9,7,0.0
2021,9,8,0.0
2021,9,9,0.0
2021,9,10,0.0
2021,9,11,0.0
2021,9,12,2.52
2021,9,13,0.67
2021,9,14,0.35
2021,9,15,0.01
2021,9,16,7.33
2021,9,17,4.99
2021,9,18,16.54
2021,9,19,1.57
2021,9,20,0.41
2021,9,21,1.15
2021,9,22,0.69
2021,9,23,3.49
2021,9,24,0.53
2021,9,25,0.59
2021,9,26,0.07
2021,9,27,0.0
2021,9,28,0.0
2021,9,29,0.1
2021,9,30,10.63
2021,10,1,0.01
2021,10,2,0.07
2021,10,3,0.05
2021,10,4,0.02
2021,10,5,0.04
2021,10,6,0.88
2021,10,7,0.04
2021,10,8,0.0
2021,10,9,0.0
2021,10,10,0.0
2021,10,11,0.0
2021,10,12,0.7
2021,10,13,0.54
2021,10,14,0.39
2021,10,15,0.48
2021,10,16,0.14
2021,10,17,0.02
2021,10,18,2.35
2021,10,19,1.59
2021,10,20,2.42
2021,10,21,0.96
2021,10,22,0.49
2021,10,23,1.18
2021,10,24,0.03
2021,10,25,0.0
2021,10,26,0.02
2021,10,27,0.11
2021,10,28,0.01
2021,10,29,0.01
2021,10,30,0.0
2021,10,31,0.0
2021,11,1,0.03
2021,11,2,2.91
2021,11,3,3.49
2021,11,4,0.91
2021,11,5,0.15
2021,11,6,0.23
2021,11,7,0.59
2021,11,8,2.24
2021,11,9,0.14
2021,11,10,0.03
2021,11,11,0.0
2021,11,12,0.27
2021,11,13,0.04
2021,11,14,0.24
2021,11,15,0.14
2021,11,16,0.15
2021,11,17,0.1
2021,11,18,1.47
2021,11,19,2.06
2021,11,20,0.43
2021,11,21,0.43
2021,11,22,0.49
2021,11,23,1.24
2021,11,24,0.61
2021,11,25,0.07
2021,11,26,8.29
2021,11,27,4.06
2021,11,28,1.66
2021,11,29,4.61
2021,11,30,3.36
2021,12,1,4.39
2021,12,2,0.08
2021,12,3,0.88
2021,12,4,0.36
2021,12,5,0.68
2021,12,6,0.92
2021,12,7,0.05
2021,12,8,0.05
2021,12,9,0.39
2021,12,10,1.1
2021,12,11,0.13
2021,12,12,0.13
2021,12,13,0.13
2021,12,14,0.36
2021,12,15,0.47
2021,12,16,0.7
2021,12,17,0.42
2021,12,18,1.97
2021,12,19,1.28
2021,12,20,1.29
2021,12,21,0.02
2021,12,22,0.17
2021,12,23,1.14
2021,12,24,3.71
2021,12,25,0.09
2021,12,26,0.03
2021,12,27,0.0
2021,12,28,0.09
2021,12,29,0.29
2021,12,30,1.37
2021,12,31,9.44
2022,1,1,0.98
